id,edit_history_tweet_ids,text,polarity_condition,topic_condition,lang,created_at,tweetId,mislead_A,mislead_B,defend_A,defend_B,nA,nB,nMisleadingNotes,nNotMisleadingNotes,netStance_A,netStance_B,consensus,polarity,communityFlagged,polarity_abs
1645785877812236294,['1645785877812236294'],"This 37-year old man just graduated from the Royal Academy of Ballet.

These transgenders don’t just want to be “women”- they want to be little girls. 

Disturbed. https://t.co/Fuv4UfcZim",negative,lgbt,en,2023-04-11T13:48:25.000Z,1645785877812236294,0.013547951,0.9847004565963684,0.9999999266107906,0.301832767,12,87,1,1,-0.986451975,0.6828676892278542,0.013547951,-1.669319665,TRUE,1.6693196645011297
1774100713309708564,['1774100713309708564'],So Easter Sunday was the best day for ‘Transgender Day of Visibility’? Did I read that correctly?,negative,lgbt,en,2024-03-30T15:45:45.000Z,1774100713309708564,0.1717787765930195,0.9999681279988836,0.8889021610095308,0.15609926,21,291,1,1,-0.717123384,0.8438688683206357,0.1717787765930195,-1.560992253,TRUE,1.560992252737147
1661742549470711810,['1661742549470711810'],Target loses $9 Billion in week following boycott calls over LGBTQ-friendly kids clothing 🤯 https://t.co/2IL9tnSMPx,negative,lgbt,en,2023-05-25T14:34:32.000Z,1661742549470711810,0.5748878320537457,0.937772005,0.9472839411926608,0.2396917760061816,73,101,2,2,-0.372396109,0.6980802291959285,0.5748878320537457,-1.070476338,TRUE,1.0704763383348437
1742290770726736071,['1742290770726736071'],"They booted a gay black women from president of Harvard and replaced her with a Jewish man 

Gay black women are the most valued class in America and can scream about the evils of white men all day long

They have made it clear who they cannot criticize though https://t.co/0PzvzZp5q0",negative,lgbt,en,2024-01-02T21:04:24.000Z,1742290770726736071,0.8313203384090843,0.7467630664377448,0.9996196536842196,0.000134081,173,115,3,1,-0.168299315,0.7466289856550313,0.7467630664377448,-0.914928301,TRUE,0.9149283009301666
1704954150482497757,['1704954150482497757'],This was the first time a court recognized the persecution of trans people in Nazi Germany. https://t.co/Sf4brTzNkF,positive,lgbt,en,2023-09-21T20:22:00.000Z,1704954150482497757,0.9620024031134128,0.1846386986357789,0.2286319233236115,0.988981431,566,155,2,2,0.7333704797898011,-0.804342733,0.1846386986357789,1.5377132123913904,TRUE,1.5377132123913904
1694740216441864291,['1694740216441864291'],"On what would have been her 78th birthday, we honor the life and legacy of Marsha P. Johnson.

A pioneer for trans liberation, Marsha’s activism and joy is woven into the work that we do everyday to build a safer, more joyful, and more affirming world for LGBTQ young people 💐 https://t.co/EYG7iaJKrG",positive,lgbt,en,2023-08-24T15:55:29.000Z,1694740216441864291,0.9958918193448444,0.490163829,0.00110082,0.999992155,655,179,2,1,0.994790999,-0.509828326,0.490163829,1.5046193255389348,TRUE,1.5046193255389348
1754225718748426254,['1754225718748426254'],"My new piece for https://t.co/XEIFJyXgjC #liathomas #transgender #WorldAquatics #swimming #transgenderathletes #transwomen 
Transgender Swimmer Lia Thomas’ Body Is Not The Problem via @forbes https://t.co/20XqkuXjwh",positive,lgbt,en,2024-02-04T19:29:37.000Z,1754225718748426254,0.995103792,0.5464781134397761,0.017070083,0.999599209,242,24,1,1,0.9780337093386614,-0.453121096,0.5464781134397761,1.431154805322587,TRUE,1.431154805322587
1777403641747345835,['1777403641747345835'],"NAIA's decision to ban trans women from sports is unacceptable. It's blatant discrimination that harms not only trans women, but all women. 

Trans athletes deserve a chance to play.

https://t.co/NjW8A89zbN",positive,lgbt,en,2024-04-08T18:30:25.000Z,1777403641747345835,0.9613384728874598,0.2228443076798346,,,192,66,3,0,0.9613384728874598,0.2228443076798346,0.2228443076798346,0.7384941652076251,TRUE,0.7384941652076251
1668729966077308928,['1668729966077308928'],"Starbucks workers are taking to social media to report that the company is no longer allowing Pride decorations in-store.

The news comes at the heels of Target bowing to anti-LGBTQ+ pressure and removing pride merchandise. 

🔗: https://t.co/rFXf6RawkH https://t.co/T88tVgu616",center,lgbt,en,2023-06-13T21:20:02.000Z,1668729966077308928,0.8719708481021894,0.8733755359748868,,,73,146,2,0,0.8719708481021894,0.8733755359748868,0.8719708481021894,-0.001404688,TRUE,0.001404688
1677809883406651393,['1677809883406651393'],Trans activist misspells Bible as BIBBLE during Trans Pride earlier today in London. https://t.co/jY95PhDzav,center,lgbt,en,2023-07-08T22:40:23.000Z,1677809883406651393,0.9999999999704912,0.9999885363415824,,,37,76,2,0,0.9999999999704912,0.9999885363415824,0.9999885363415824,1.1463628908692236e-05,TRUE,1.1463628908692236e-05
