id,edit_history_tweet_ids,text,lang,created_at,tweetId,mislead_A,mislead_B,defend_A,defend_B,nA,nB,nMisleadingNotes,nNotMisleadingNotes,netStance_A,netStance_B,consensus,polarity,communityFlagged,polarity_abs,polarity_condition,topic_condition
1645785877812236294,['1645785877812236294'],"This 37-year old man just graduated from the Royal Academy of Ballet.

These transgenders don’t just want to be “women”- they want to be little girls. 

Disturbed. https://t.co/Fuv4UfcZim",en,2023-04-11T13:48:25.000Z,1645785877812236294,0.013547951,0.9847004565963684,0.9999999266107906,0.301832767,12,87,1,1,-0.986451975,0.6828676892278542,0.013547951,-1.669319665,TRUE,1.6693196645011297,negative,lgbt
1774100713309708564,['1774100713309708564'],So Easter Sunday was the best day for ‘Transgender Day of Visibility’? Did I read that correctly?,en,2024-03-30T15:45:45.000Z,1774100713309708564,0.1717787765930195,0.9999681279988836,0.8889021610095308,0.15609926,21,291,1,1,-0.717123384,0.8438688683206357,0.1717787765930195,-1.560992253,TRUE,1.560992252737147,negative,lgbt
1775865313923305742,['1775865313923305742'],"These youngsters in my mentions telling me that children were too scared to come out as trans in the 90s don’t understand that we talked about everything and anything back then, before cancel culture and self censorship for fear of wrongthink.",en,2024-04-04T12:37:39.000Z,1775865313923305742,0.038322626,0.8854341956712125,0.999999331,0.3530868602136517,20,556,3,2,-0.961676704,0.5323473354575607,0.038322626,-1.49402404,TRUE,1.4940240399106088,negative,lgbt
1779358921796243863,['1779358921796243863'],"Biden tells America to choose Transgenders over Jesus 🤔
Joe Biden literally has already found a replacement for Easter, yap and its now called the transgender day folks. 
https://t.co/XXvgQoDQNE

Question: Who do you think he is going to replace Christmas with? https://t.co/DLKWtAVQSw",en,2024-04-14T04:00:00.000Z,1779358921796243863,0.2399410455745613,0.9760909821305582,0.726426948,0.1006672087786596,2562,2926,2,1,-0.486485903,0.8754237733518986,0.2399410455745613,-1.361909676,TRUE,1.3619096761082834,negative,lgbt
1686122723833950208,['1686122723833950208'],"Russian lawmaker Maria Butina believes, ""Barbie should be removed from the (Russian) market, along with the Mattel company, because they bring the LGBT agenda here."" 🏳️‍🌈🇷🇺 https://t.co/uGMAGUKyAp",en,2023-07-31T21:12:38.000Z,1686122723833950208,0.5474903618839022,0.9007257681994872,0.9999995366502172,1.223379609837434e-37,42,70,2,1,-0.452509175,0.9007257681994872,0.5474903618839022,-1.353234943,TRUE,1.3532349429658022,negative,lgbt
1673708734890090500,['1673708734890090500'],"And lefties wonder why I am against all this LGBT 'Pride' crap?
I am not daft. I can see where this is leading. https://t.co/9irxoI0rl9",en,2023-06-27T15:03:53.000Z,1673708734890090500,0.5964748527132953,0.9273390302304924,0.999921978,0.1831322524104631,101,429,3,1,-0.403447126,0.7442067778200293,0.5964748527132953,-1.147653904,TRUE,1.147653903586972,negative,lgbt
1669458128285343745,"['1669455614638977025', '1669458128285343745']","No blacks. No Irish. *but* the homosexuals are welcome!

Progressive! https://t.co/9My3mLm13T",en,2023-06-15T21:33:29.000Z,1669458128285343745,0.8512308032309975,0.9887449148729665,1,9.814061903844195e-32,27,37,1,1,-0.148769197,0.9887449148729665,0.8512308032309975,-1.137514112,TRUE,1.137514111641969,negative,lgbt
1721644764356120578,['1721644764356120578'],"🚨#BREAKING: Google and Meta have BANNED sharing Steven Crowder’s release of the Nashville transgender school shooter manifesto. 

Audrey Hale shot three children and three adults to death at the Covenant School on March 27.

So you know what to do, X.

 https://t.co/mH2M9sY9Ms",en,2023-11-06T21:44:33.000Z,1721644764356120578,0.7844745477486484,0.9180474092795148,0.9999999999950816,1.9885616757205607e-27,41,37,1,1,-0.215525452,0.9180474092795148,0.7844745477486484,-1.133572862,TRUE,1.133572861525948,negative,lgbt
1661742549470711810,['1661742549470711810'],Target loses $9 Billion in week following boycott calls over LGBTQ-friendly kids clothing 🤯 https://t.co/2IL9tnSMPx,en,2023-05-25T14:34:32.000Z,1661742549470711810,0.5748878320537457,0.937772005,0.9472839411926608,0.2396917760061816,73,101,2,2,-0.372396109,0.6980802291959285,0.5748878320537457,-1.070476338,TRUE,1.0704763383348437,negative,lgbt
1744909508894429540,['1744909508894429540'],"Jennifer Lawrence has been casted as Jesus Christ and Emma Stone as Judas in Martin Scorsese’s next movie, set to shoot later this year. It will be a gender-reversed, modern telling of the biblical events set in Southern California.

(Via: @Variety) https://t.co/FaNfFTvYdP",en,2024-01-10T02:30:20.000Z,1744909508894429540,0.7606234412046047,0.8642274493076547,1,0.062094544,238,89,2,1,-0.239376559,0.8021329049664826,0.7606234412046047,-1.041509464,TRUE,1.0415094637618778,negative,lgbt
1749832523406799269,['1749832523406799269'],"Trans man who had mastectomy discovered to be 5 months pregnant, making rare ‘seahorse dad’ https://t.co/52uwQCOK74 https://t.co/EVeMFVneyg",en,2024-01-23T16:32:38.000Z,1749832523406799269,0.8648297582697967,0.095142027,0.089895967,0.8846713991355372,2213,1114,5,7,0.7749337916887932,-0.789529372,0.095142027,1.5644631636153674,TRUE,1.5644631636153674,positive,lgbt
1704954150482497757,['1704954150482497757'],This was the first time a court recognized the persecution of trans people in Nazi Germany. https://t.co/Sf4brTzNkF,en,2023-09-21T20:22:00.000Z,1704954150482497757,0.9620024031134128,0.1846386986357789,0.2286319233236115,0.988981431,566,155,2,2,0.7333704797898011,-0.804342733,0.1846386986357789,1.5377132123913904,TRUE,1.5377132123913904,positive,lgbt
1694740216441864291,['1694740216441864291'],"On what would have been her 78th birthday, we honor the life and legacy of Marsha P. Johnson.

A pioneer for trans liberation, Marsha’s activism and joy is woven into the work that we do everyday to build a safer, more joyful, and more affirming world for LGBTQ young people 💐 https://t.co/EYG7iaJKrG",en,2023-08-24T15:55:29.000Z,1694740216441864291,0.9958918193448444,0.490163829,0.00110082,0.999992155,655,179,2,1,0.994790999,-0.509828326,0.490163829,1.5046193255389348,TRUE,1.5046193255389348,positive,lgbt
1787557395939418299,['1787557395939418299'],"JESUS DIRECTLY AFFIRMED SAME-SEX LOVE.
… but many English translations try to hide it.

In Matthew 8:5-13, a Roman Centurion pleads for Jesus to come heal a “young servant,” who is sick in his home.

But this was A GAY LOVER, not just a “young servant.”

The details 👇🏼🧵￼

￼",en,2024-05-06T18:57:49.000Z,1787557395939418299,0.9671350911064872,0.3973666288839221,1.6753984461093028e-10,0.9061661292331844,320,64,3,1,0.9671350909389472,-0.5087995,0.3973666288839221,1.4759345912882098,TRUE,1.4759345912882098,positive,lgbt
1754225718748426254,['1754225718748426254'],"My new piece for https://t.co/XEIFJyXgjC #liathomas #transgender #WorldAquatics #swimming #transgenderathletes #transwomen 
Transgender Swimmer Lia Thomas’ Body Is Not The Problem via @forbes https://t.co/20XqkuXjwh",en,2024-02-04T19:29:37.000Z,1754225718748426254,0.995103792,0.5464781134397761,0.017070083,0.999599209,242,24,1,1,0.9780337093386614,-0.453121096,0.5464781134397761,1.431154805322587,TRUE,1.431154805322587,positive,lgbt
1633688323243008000,['1633688323243008000'],"A bill that will empower government employees to deny marriage licenses to LGBTQ &amp; interracial couples.

That. JUST. Passed.

Wake up America.

The @GOP are rolling back decades of progress RIGHT NOW.

We must call out this blatant bigotry for what it is. https://t.co/pnoGdZ0YPI",en,2023-03-09T04:37:03.000Z,1633688323243008000,0.952985762,0.4739916164505066,0.023670659,0.8498775588514311,234,109,3,2,0.9293151033962536,-0.375885942,0.4739916164505066,1.305201045797178,TRUE,1.305201045797178,positive,lgbt
1773498497729524151,['1773498497729524151'],"How is this anything other than policing women's gender expression (young women, at that) https://t.co/GtBG5Ef4Ha",en,2024-03-28T23:52:46.000Z,1773498497729524151,0.9999912823193556,0.4919387405341943,0.000692247,0.6995771089338243,160,49,1,2,0.9992990350189266,-0.207638368,0.4919387405341943,1.2069374034185565,TRUE,1.2069374034185565,positive,lgbt
1659552178720178179,['1659552178720178179'],Good morning! A reminder that healthcare for transgender people is settled science. Every major medical association supports this critical life-saving care. https://t.co/dG8lRKrzvA,en,2023-05-19T13:30:47.000Z,1659552178720178179,0.879153489,0.1541125265283111,0.022849822,0.4916524179653311,7340,3473,14,3,0.8563036677947421,-0.337539891,0.1541125265283111,1.193843559231762,TRUE,1.193843559231762,positive,lgbt
1699146339232174282,['1699146339232174282'],"BREAKING: Uganda has made its first arrest for “aggravated homosexuality” a crime which is now punishable by death under the new anti-LGBTQ+ law. 

20-year-old Michael Opolot could now face the death penalty any day now. https://t.co/JwmcRz3Jde",en,2023-09-05T19:43:50.000Z,1699146339232174282,0.9563871048539064,0.8529095897899869,0.000686594,0.9994808653189904,130,83,2,3,0.9557005105013632,-0.146571276,0.8529095897899869,1.1022717860303666,TRUE,1.1022717860303666,positive,lgbt
1665081853785538568,['1665081853785538568'],"wow - in a shocking show of support to the LGBTQ community, Mike Pence “comes out” on a rainbow motorcycle https://t.co/HsCdJPu2xH",en,2023-06-03T19:43:44.000Z,1665081853785538568,0.9814587879259932,0.5976836660788825,0.1043821730048885,0.7800493423655962,39,105,2,2,0.8770766149211046,-0.182365676,0.5976836660788825,1.0594422912078183,TRUE,1.0594422912078183,positive,lgbt
1764086034084794581,['1764086034084794581'],"Queerbaiter Albie has been blocked by TNA Knockouts Champion Jordynne Grace.

In a Wrestle Crave exclusive, we confirm that Jordynne told us “someone had to stand up against that bottom and I am happy I’m the one to do it.” https://t.co/jV6Z8HuvwJ",en,2024-03-03T00:31:00.000Z,1764086034084794581,1,1,,,12,46,1,0,1,1,1,0,TRUE,0,center,lgbt
1717630425282040079,['1717630425282040079'],"JUST IN | THOUSANDS of US Marines have landed in Israel!

PitDark InMy1989TaylorsVersionEra NationalPumpkinDay AR-15 Chocking Jota Petty  Mason Toy Story Beal PBPitch Vrana Shams Pinto Alan Wake 2 Waffle House Gaylors Ausmus Josh Norman SHALL NOT BE INFRINGED Letterboxd https://t.co/loaw1lF4Na",en,2023-10-26T19:53:00.000Z,1717630425282040079,1,1,,,28,21,1,0,1,1,1,0,TRUE,0,center,lgbt
1677809883406651393,['1677809883406651393'],Trans activist misspells Bible as BIBBLE during Trans Pride earlier today in London. https://t.co/jY95PhDzav,en,2023-07-08T22:40:23.000Z,1677809883406651393,0.9999999999704912,0.9999885363415824,,,37,76,2,0,0.9999999999704912,0.9999885363415824,0.9999885363415824,1.1463628908692236e-05,TRUE,1.1463628908692236e-05,center,lgbt
1406618105950900224,['1406618105950900224'],"Fort Lauderdale Mayor: Truck running into Pride parade ""was a terrorist attack against the LGBTQ community"" https://t.co/nAeR8ftsUx https://t.co/oXu6dSVkf3",en,2021-06-20T14:21:04.000Z,1406618105950900224,0.9999389068745702,0.9999512417077322,,,43,4,3,0,0.9999389068745702,0.9999512417077322,0.9999389068745702,-1.23E-05,TRUE,1.233483316198658e-05,center,lgbt
1594321075256582147,['1594321075256582147'],"Gay marriage is illegal in Israel, as is interracial marriage. https://t.co/E2bivli0TR",en,2022-11-20T13:25:40.000Z,1594321075256582147,0.9994876781186648,0.9996586124803106,,,5,15,1,0,0.9994876781186648,0.9996586124803106,0.9994876781186648,-0.000170934,TRUE,0.000170934,center,lgbt
1786584376496554302,['1786584376496554302'],Iran publicly photos these guys right before they were executed for being gay. https://t.co/mapGTMOaBx,en,2024-05-04T02:31:23.000Z,1786584376496554302,0.9991114491514076,1,,,11,27,1,0,0.9991114491514076,1,0.9991114491514076,-0.000888551,TRUE,0.000888551,center,lgbt
1668729966077308928,['1668729966077308928'],"Starbucks workers are taking to social media to report that the company is no longer allowing Pride decorations in-store.

The news comes at the heels of Target bowing to anti-LGBTQ+ pressure and removing pride merchandise. 

🔗: https://t.co/rFXf6RawkH https://t.co/T88tVgu616",en,2023-06-13T21:20:02.000Z,1668729966077308928,0.8719708481021894,0.8733755359748868,,,73,146,2,0,0.8719708481021894,0.8733755359748868,0.8719708481021894,-0.001404688,TRUE,0.001404688,center,lgbt
1638959087756136453,['1638959087756136453'],All 'dating' apps are gay. https://t.co/RA5cDCeIDc,en,2023-03-23T17:41:11.000Z,1638959087756136453,0.9981615970138964,0.99999975,,,36,31,1,0,0.9981615970138964,0.99999975,0.9981615970138964,-0.001838153,TRUE,0.001838153,center,lgbt
1794105927076901250,['1794105927076901250'],"Of course Starmer doesn’t want to debate during the next 6 weeks, it will mean he actually has to share  his opinions on things like Palestine,Gender &amp; Taxes going up even further under Labour.

He doesn’t want the masses to know what he’s about,if he stays quiet it’s a landslide",en,2024-05-24T20:39:20.000Z,1794105927076901250,0.9925129722967548,0.9944856398015096,,,18,72,1,0,0.9925129722967548,0.9944856398015096,0.9925129722967548,-0.001972668,TRUE,0.001972668,center,lgbt
