tweetId,id,text,polarity_condition,topic_condition,edit_history_tweet_ids,created_at,lang,noteFactor_fn,noteFactor_abs
2056742394112929947,2056742394112929947,"TRANS TERROR: San Diego mosque shooting suspects identified as 17-year-old Cain Clark &amp; 18-year-old Caleb Vazquez, identified as a transgender couple by classmates. 3 men dead including a security guard. Drive-by media will bury the shooters' identities &amp; ideology. https://t.co/Lho7H7ZhEo",negative,lgbt,['2056742394112929947'],2026-05-19T14:22:53.000Z,en,-0.5700324,0.5700324
2024103395024392545,2024103395024392545,"🚨 IT'S OFFICIAL: Anti-American ""Queer"" Team USA skater Amber Glenn finishes 13TH at the Winter Olympics, CRIES when it happens

She said Trump is attacking LGBTQ while overseas

Karma hits hard. Trashing America on the world stage never works out well!

https://t.co/1IVxPrOYyI",negative,lgbt,['2024103395024392545'],2026-02-18T12:47:10.000Z,en,-0.5342704,0.5342704
2025667098714739006,2025667098714739006,"🚨 Olympic gold medal figure skater Alysa Liu responds to the transphobia allegations: ""I don't hate trans people, I just feel sorry for them"" https://t.co/9Py59gNkkW",negative,lgbt,['2025667098714739006'],2026-02-22T20:20:46.000Z,en,-0.48588532,0.48588532
2033225702015746060,2033225702015746060,"You aren’t born gay. 

Being gay is introduced to you by creepy pedophiles. 

Don’t be gay. 
https://t.co/8ZddtWelj5",negative,lgbt,['2033225702015746060'],2026-03-15T16:55:57.000Z,en,-0.47277403,0.47277403
2036892542676144131,2036892542676144131,"🚨BREAKING: The Supreme Court just ruled parents ARE allowed to opt their children out of being indoctrinated with LGBTQ+ propaganda!

PRAISE GOD!!! Sanity is being restored! 
 https://t.co/sceBR8hgbH",negative,lgbt,['2036892542676144131'],2026-03-25T19:46:40.000Z,en,-0.42655897,0.42655897
2044939011676840342,2044939011676840342,"🚨BREAKING:🚨POPE LEO THE LEFTIST - Campaign finance records reveal that WOKE POPE Leo was a MAJOR DONOR to Kamala Harris's 2024 presidential campaign, has financially supported Planned Parenthood, LGBT activist organizations, down ballot Democrat candidates for office and OTHER https://t.co/sNdU4MVUuk",negative,lgbt,['2044939011676840342'],2026-04-17T00:40:28.000Z,en,-0.3567778,0.3567778
2026557659457921339,2026557659457921339,"64 people in VIC/NSW have been charged with violent gay bashing since 2023!

It’s insane the this country still allows schools and priests to preach violence and discrimination against LGBTQIA+ Australians

Religious discrimination must be banned #auspol

https://t.co/o42lXL3ipY",positive,lgbt,['2026557659457921339'],2026-02-25T07:19:32.000Z,en,0.54270184,0.54270184
2015551070626287917,2015551070626287917,There is no arguing with transphobes you tell them basic things like “trans women can also experience period symptoms” and they just deny your actual lived experience,positive,lgbt,['2015551070626287917'],2026-01-25T22:23:17.000Z,en,0.506931,0.506931
2027134197630988392,2027134197630988392,Missouri House passes permanent ban on trans athletes in school sports https://t.co/58Nkyem4Ko,positive,lgbt,['2027134197630988392'],2026-02-26T21:30:29.000Z,en,0.4439488,0.4439488
2039759163870343353,2039759163870343353,"Nazi-era fears about gender gave rise to sex testing. Now, the policy is resurfacing. 

On March 26, the International Olympic Committee announced that all athletes competing in women’s sports will be required to undergo genetic eligibility testing. Claiming to be concerned with https://t.co/6msxmafPLC",positive,lgbt,['2039759163870343353'],2026-04-02T17:37:36.000Z,en,0.44260174,0.44260174
2064072901695877340,2064072901695877340,"Guide to trans rights in 2026-
Liberated: 🇨🇺
Accepted: 🇹🇭 etc.
Transmedicalist: 🇨🇳 etc.
Hostile: 🇮🇳 etc.
Ongoing trans genocide: 🇺🇸🇷🇺🇸🇦🇦🇪🇬🇧

Best Asia: 🇹🇭
Worst Asia: 🇦🇪🇸🇦
Best Africa: 🇿🇦
Worst Africa: 🇺🇬
Best Euro: 🇪🇸
Worst Euro: 🇷🇺🇬🇧
Best America: 🇨🇺
Worst America: 🇺🇸",positive,lgbt,['2064072901695877340'],2026-06-08T19:51:43.000Z,en,0.30618337,0.30618337
