profile_id,template_id,condition,target_party,day,position,post_id,topic,polarity,access_code
P001,0,neutral,D,1,1,2038685980300108067,cost of living,center,78662a6d965d
P001,0,neutral,D,1,2,2058866463109427266,healthcare,center,92ff3d557fc9
P001,0,neutral,D,1,3,2066289643717546452,lgbt,center,43d1012df2b4
P001,0,neutral,D,1,4,2064072901695877340,lgbt,positive,66c3e4664d9e
P001,0,neutral,D,1,5,2014544874226307121,immigration,positive,c6ce735ab19b
P001,0,neutral,D,1,6,2055452255545933938,race,negative,7430695cb0df
P001,0,neutral,D,1,7,2017639636378812591,healthcare,negative,7574768bf913
P001,0,neutral,D,1,8,2066229248239562974,religion,positive,34fc7cd5876f
P001,0,neutral,D,1,9,2023767447590064459,religion,negative,ffadd82151dd
P001,0,neutral,D,1,10,2067652478103855158,cost of living,negative,4caee68e081b
P001,0,neutral,D,1,11,2059106745373352239,race,positive,794902eb22ea
P001,0,neutral,D,1,12,2016288383350325373,immigration,center,42601eeedb40
P001,0,neutral,D,2,1,2043684847370047538,race,center,8c4b1f5de841
P001,0,neutral,D,2,2,2015202988923711951,immigration,negative,05cef054beb8
P001,0,neutral,D,2,3,2035355458945573186,race,negative,12a8d870fd4e
P001,0,neutral,D,2,4,2016222191239758090,immigration,positive,0ca320d1d029
P001,0,neutral,D,2,5,2040935013126918193,healthcare,center,411ba4930980
P001,0,neutral,D,2,6,2041118698639945809,cost of living,positive,af123dc07d37
P001,0,neutral,D,2,7,2068769932410749379,healthcare,positive,4645f9c1e1e8
P001,0,neutral,D,2,8,2033225702015746060,lgbt,negative,94006e525f9b
P001,0,neutral,D,2,9,2052548863492272396,cost of living,center,a23a6e3f7c8b
P001,0,neutral,D,2,10,2027134197630988392,lgbt,positive,a8df694377e1
P001,0,neutral,D,2,11,2044137131132469622,religion,center,9e5ec516ad14
P001,0,neutral,D,2,12,2019817692161798164,religion,negative,8ff5749d4a53
P001,0,neutral,D,3,1,2019095493540999307,religion,positive,61f5fc2ed2f2
P001,0,neutral,D,3,2,2038073710993674647,religion,center,89b235cd0f90
P001,0,neutral,D,3,3,2068204908306710636,race,center,444b8e9cf1bf
P001,0,neutral,D,3,4,2044566257811193983,cost of living,positive,f7ad02ff5806
P001,0,neutral,D,3,5,2015120379841298716,immigration,negative,d370fc8ec257
P001,0,neutral,D,3,6,2044939011676840342,lgbt,negative,cc3eef815055
P001,0,neutral,D,3,7,2013888094349434888,immigration,center,55ad4cb980c9
P001,0,neutral,D,3,8,2032022382068535386,lgbt,center,8a089cc54a93
P001,0,neutral,D,3,9,2032575368977101031,race,positive,a4a5307ce9ed
P001,0,neutral,D,3,10,2025036200113766559,healthcare,positive,53d7f8c09255
P001,0,neutral,D,3,11,2052901365349769365,healthcare,negative,c6c3e877fb7e
P001,0,neutral,D,3,12,2024130723003646245,cost of living,negative,d58a51fe4bb2
P002,0,agreeable,R,1,1,2038685980300108067,cost of living,center,7f7430399b7e
P002,0,agreeable,R,1,2,2058866463109427266,healthcare,center,38b704ae5d66
P002,0,agreeable,R,1,3,2066289643717546452,lgbt,center,cd0135387d37
P002,0,agreeable,R,1,4,2064072901695877340,lgbt,positive,6860b33b6d7f
P002,0,agreeable,R,1,5,2014544874226307121,immigration,positive,e7dd7d6a3bd6
P002,0,agreeable,R,1,6,2055452255545933938,race,negative,89a0ebb9428e
P002,0,agreeable,R,1,7,2017639636378812591,healthcare,negative,123da73ebb35
P002,0,agreeable,R,1,8,2066229248239562974,religion,positive,0574ad8194bf
P002,0,agreeable,R,1,9,2023767447590064459,religion,negative,c4f8f465c3c9
P002,0,agreeable,R,1,10,2067652478103855158,cost of living,negative,347d7659cd49
P002,0,agreeable,R,1,11,2059106745373352239,race,positive,636f18bced8f
P002,0,agreeable,R,1,12,2016288383350325373,immigration,center,3685babff9d1
P002,0,agreeable,R,2,1,2043684847370047538,race,center,f6f412bae7a1
P002,0,agreeable,R,2,2,2015202988923711951,immigration,negative,76aa97b6530c
P002,0,agreeable,R,2,3,2035355458945573186,race,negative,be4bdde8e5ed
P002,0,agreeable,R,2,4,2016222191239758090,immigration,positive,907f862630ab
P002,0,agreeable,R,2,5,2040935013126918193,healthcare,center,e8684a03e774
P002,0,agreeable,R,2,6,2041118698639945809,cost of living,positive,ee9194381397
P002,0,agreeable,R,2,7,2068769932410749379,healthcare,positive,274b03c826a6
P002,0,agreeable,R,2,8,2033225702015746060,lgbt,negative,dd2650dc05bb
P002,0,agreeable,R,2,9,2052548863492272396,cost of living,center,9f24e35eab35
P002,0,agreeable,R,2,10,2027134197630988392,lgbt,positive,1185b04827c3
P002,0,agreeable,R,2,11,2044137131132469622,religion,center,09e616fef3ff
P002,0,agreeable,R,2,12,2019817692161798164,religion,negative,591e7b9cdb7f
P002,0,agreeable,R,3,1,2019095493540999307,religion,positive,5295a190a2d6
P002,0,agreeable,R,3,2,2038073710993674647,religion,center,be2b48e46051
P002,0,agreeable,R,3,3,2068204908306710636,race,center,479aee8f3582
P002,0,agreeable,R,3,4,2044566257811193983,cost of living,positive,5ed9a516dbff
P002,0,agreeable,R,3,5,2015120379841298716,immigration,negative,54040ba894c2
P002,0,agreeable,R,3,6,2044939011676840342,lgbt,negative,9b16acaef689
P002,0,agreeable,R,3,7,2013888094349434888,immigration,center,6b897c2dde6d
P002,0,agreeable,R,3,8,2032022382068535386,lgbt,center,f3ca1baa93fd
P002,0,agreeable,R,3,9,2032575368977101031,race,positive,d9a3ef9c5cf4
P002,0,agreeable,R,3,10,2025036200113766559,healthcare,positive,b774b8879d26
P002,0,agreeable,R,3,11,2052901365349769365,healthcare,negative,8e8106aa42ae
P002,0,agreeable,R,3,12,2024130723003646245,cost of living,negative,42bec3cdaab8
